web-scraper-order,web-scraper-start-url,post,post-href,date,content,image-src
"1523236599-256","https://doublelist.com/view/los_angeles/cw4m/","BBW Lovers Curves in all the right places Today only","https://doublelist.com/ads/721721901.html","04/08/2018","I'm a 5'5"" BBW size 16 dress sweet smelling curvy.   
 Culver City Today looking for some Fun last day in LA
email me!  Looking for that special someone  Relax you found me!
your Pic gets mine 
I'm Mature drama free Looking for the same","https://doublelist.com/photos/22445/"
"1523236589-254","https://doublelist.com/view/los_angeles/cw4m/","White BBW looking for a regular NSA","https://doublelist.com/ads/193542268.html","04/08/2018","Hey guys! Trying this out. White bbw looking for a man who wants to meet up with once in awhile and have some good sexy and let me service you. I'm pretty, normal, no drugs, nice home. Needing some sexual excitement. I live near the wal mart in west valley. Please send pics in email I will send some too",""
"1523236469-230","https://doublelist.com/view/los_angeles/cw4m/","lalalala i love personal sex in here doublelist","https://doublelist.com/ads/682137823.html","04/06/2018","lalalala i love personal sex in here doublelist am available now for u who want to date with me am felling horny so many days so come fast am ready to do it baby",""
"1523236234-183","https://doublelist.com/view/los_angeles/cw4m/","looking 4 now","https://doublelist.com/ads/730667714.html","04/07/2018","I'm available right now. Wet sloppy oral skills in full effect 
blonde busty thick chick is hosting. No games . No endless emails. Just the best nut of your life. Hmu",""
"1523236514-239","https://doublelist.com/view/los_angeles/cw4m/","Consider me for licking fun bored woman up for meeting and Cuddling","https://doublelist.com/ads/875149777.html","04/06/2018","I have tried the married life, does not work for me. So now I am searching for a man to enjoy some casual fun with, without all the dramatics. Don't care if you are involved with someone or what ever. I love sucking a nice stiff cock, so if like the sound of that get in touch soon",""
"1523236519-240","https://doublelist.com/view/los_angeles/cw4m/","Single NSA mom fuck","https://doublelist.com/ads/249507343.html","04/06/2018","I'm a single mom.. no DICK for almost 5months and now that.I'm alone in our house so that means I can host.let's meet and let's do it..I want to suck than fuck of yours..NSA only","https://doublelist.com/photos/13336/"
"1523236364-209","https://doublelist.com/view/los_angeles/cw4m/","boyfriend fun (female looking for men)","https://doublelist.com/ads/764342853.html","04/07/2018","so i miss having a boyfriend. miss having someone to talk to and do fun drugs with. i’m a cute petite girl looking for someone i can have fun with. i won’t disappoint .LA area",""
"1523236249-186","https://doublelist.com/view/los_angeles/cw4m/","se te antoja este caramelo","https://doublelist.com/ads/101948675.html","04/06/2018","Ven papi quieres saborear este rico caramelo ven no pienses mas ven a quitarme la envoltura llama espero por ti",""
"1523236294-195","https://doublelist.com/view/los_angeles/cw4m/","verified","https://doublelist.com/ads/485715947.html","04/07/2018","Hi gentleman,
are you looking for some company this evening 

i am 100% real and very fun and laid back. Lets get together, you wont be disappointed.",""
"1523236479-232","https://doublelist.com/view/los_angeles/cw4m/","Seeking FWB","https://doublelist.com/ads/541949800.html","04/06/2018","Bigger woman seeking FWB for ongoing play. Open to exploring new things love anal and can host message me with a photo and the date in the subject line if you're interested.","https://doublelist.com/photos/12871/"
"1523236484-233","https://doublelist.com/view/los_angeles/cw4m/","Coming to town!!","https://doublelist.com/ads/865936972.html","04/06/2018","Coming to town in a few weeks. Looking to find a man to spend some time with. I will be traveling alone. I am into the outdoors and in town for the mountains & maybe a evening with you?",""
"1523236544-245","https://doublelist.com/view/los_angeles/cw4m/","Fuck me hard please!","https://doublelist.com/ads/372492486.html","04/08/2018","I'm a 25 yr old white girl who just wants to be stretched out so good by a nice juicy cock! You can bust your nut inside me if you'd like or if you just want some head then please fill my mouth with your cum ! I'm married and I want to make him watch me fuck another man. Looking if the add is up.",""
"1523236349-206","https://doublelist.com/view/los_angeles/cw4m/","kind sweet mocha cutie","https://doublelist.com/ads/107207969.html","04/07/2018","Hello my name is asia and im ready to have some fun on this windy vegas night whos gonna keep me company",""
"1523236244-185","https://doublelist.com/view/los_angeles/cw4m/","let's enjoy secrete fun","https://doublelist.com/ads/563709887.html","04/07/2018","i am horny and sexy female stuck in for a day and i am looking for someone horny young sexy guy to hang out with long time. Teach me new fucking style. Send me your number plz and send your penis screenshot",""
"1523236559-248","https://doublelist.com/view/los_angeles/cw4m/","Need 2 perfect men","https://doublelist.com/ads/843059865.html","04/07/2018","Looking for tonight only you must host. Mmf. No DP. Must be oral and between the ages of 35-60 no pic no reply.",""
"1523236499-236","https://doublelist.com/view/los_angeles/cw4m/","Email sext?","https://doublelist.com/ads/679206525.html","04/06/2018","Feeling very naughty and also very w e t, Bored alone and looking for a little fun. So if your
up for some get back to me and let's enjoy ourselves.",""
"1523236434-223","https://doublelist.com/view/los_angeles/cw4m/","Hot pussy....Hurry up","https://doublelist.com/ads/522588388.html","04/06/2018","Sort of horny and seeking a man or perhaps 2 to play with.
I am very good at oral, I please and I Will make you feel great.
Really clean here, good looking and have a nice, slender body.
I am able to host at my place so be prepared and willing to come by.
Please Text me.......",""
"1523236404-217","https://doublelist.com/view/los_angeles/cw4m/","Kimmy","https://doublelist.com/ads/681476545.html","04/07/2018","Hey I'm looking for new friends in my area if you are local leave me a reply thank you",""
"1523236269-190","https://doublelist.com/view/los_angeles/cw4m/","gorgeous petite bombshell","https://doublelist.com/ads/313240179.html","04/06/2018","Hi i aim to please no drama. All fun. Pics are all mine can't wait to meet you. I come to you only. Send me a face pic for confirmation or i will not respond. No aa men. Sorry my preference",""
